"c2g__Transaction__r.Id","c2g__Transaction__r.c2g__TransactionDate__c","c2g__Transaction__r.CreatedBy.Name","c2g__Transaction__r.c2g__DocumentDescription__c","c2g__Transaction__r.c2g__DocumentNumber__c","c2g__Transaction__r.c2g__Account__c","c2g__Transaction__r.c2g__Account__r.Type","c2g__Transaction__r.c2g__Period__r.c2g__PeriodNumber__c","Id","TLDebit__c","TLCredit__c","c2g__GeneralLedgerAccount__c","CreatedDate","c2g__LineDescription__c","c2g__GeneralLedgerAccount__r.c2g__ReportingCode__c"
"a3i24000000USRLAA4","2017-06-02","Tatiana Abreu","AP-017331; VINV-01639","PIN001910","0012400000W4OjCAAV","Channel Partner / Vendor","006","a3h24000000LUVZAA4","782.0","0.0","a2l24000000U9wOAAS","2017-06-05T13:45:48.000Z","CCONT23","2432113"
"a3i24000000USRaAAO","2017-06-02","Tatiana Abreu","AP-013230; VINV-01636","PIN001911","0012400000Wn6y0AAB","Channel Partner / Vendor","006","a3h24000000LUVoAAO","0.0","2952.0","a2l24000000U9vrAAC","2017-06-05T14:21:19.000Z","AP-013230; VINV-01636","22114"
"a3i24000000USRaAAO","2017-06-02","Tatiana Abreu","AP-013230; VINV-01636","PIN001911","0012400000Wn6y0AAB","Channel Partner / Vendor","006","a3h24000000LUVpAAO","2400.0","0.0","a2l24000000U9y3AAC","2017-06-05T14:21:19.000Z","","311"
"a3i24000000USRaAAO","2017-06-02","Tatiana Abreu","AP-013230; VINV-01636","PIN001911","0012400000Wn6y0AAB","Channel Partner / Vendor","006","a3h24000000LUVqAAO","552.0","0.0","a2l24000000U9wOAAS","2017-06-05T14:21:19.000Z","CCONT23","2432113"
"a3i24000000USRpAAO","2017-05-29","Tatiana Abreu","AP-016854; VINV-01598","PIN001912","0012400000YDORTAA5","Channel Partner / Vendor","005","a3h24000000LUW5AAO","0.0","1624.83","a2l24000000U9vrAAC","2017-06-05T14:30:30.000Z","AP-016854; VINV-01598","22114"
"a3i24000000USRpAAO","2017-05-29","Tatiana Abreu","AP-016854; VINV-01598","PIN001912","0012400000YDORTAA5","Channel Partner / Vendor","005","a3h24000000LUW6AAO","1321.0","0.0","a2l24000000U9y3AAC","2017-06-05T14:30:30.000Z","","311"
"a3i24000000USRpAAO","2017-05-29","Tatiana Abreu","AP-016854; VINV-01598","PIN001912","0012400000YDORTAA5","Channel Partner / Vendor","005","a3h24000000LUW7AAO","303.83","0.0","a2l24000000U9wOAAS","2017-06-05T14:30:30.000Z","CCONT23","2432113"
"a3i24000000USS4AAO","2017-05-20","Tatiana Abreu","AP-015739; VINV-01543","PIN001913","0012400000kQH2tAAG","Channel Partner / Vendor","005","a3h24000000LUWLAA4","0.0","2600.22","a2l24000000U9vrAAC","2017-06-05T14:39:11.000Z","AP-015739; VINV-01543","22114"
"a3i24000000USS4AAO","2017-05-20","Tatiana Abreu","AP-015739; VINV-01543","PIN001913","0012400000kQH2tAAG","Channel Partner / Vendor","005","a3h24000000LUWMAA4","2114.0","0.0","a2l24000000U9y3AAC","2017-06-05T14:39:11.000Z","","311"
"a3i24000000USS4AAO","2017-05-20","Tatiana Abreu","AP-015739; VINV-01543","PIN001913","0012400000kQH2tAAG","Channel Partner / Vendor","005","a3h24000000LUWNAA4","486.22","0.0","a2l24000000U9wOAAS","2017-06-05T14:39:11.000Z","CCONT23","2432113"
"a3i24000000USVDAA4","2017-06-05","Tatiana Abreu","AP-017691; VINV-01648","PIN001914","0012400000WmBYWAA3","Channel Partner / Vendor","006","a3h24000000LUdUAAW","0.0","3660.91","a2l24000000U9vrAAC","2017-06-06T11:17:16.000Z","AP-017691; VINV-01648","22114"
"a3i24000000USVDAA4","2017-06-05","Tatiana Abreu","AP-017691; VINV-01648","PIN001914","0012400000WmBYWAA3","Channel Partner / Vendor","006","a3h24000000LUdVAAW","2976.35","0.0","a2l24000000U9y3AAC","2017-06-06T11:17:16.000Z","","311"
"a3i24000000USVDAA4","2017-06-05","Tatiana Abreu","AP-017691; VINV-01648","PIN001914","0012400000WmBYWAA3","Channel Partner / Vendor","006","a3h24000000LUdWAAW","684.56","0.0","a2l24000000U9wOAAS","2017-06-06T11:17:16.000Z","CCONT23","2432113"
"a3i24000000USVSAA4","2017-06-05","Tatiana Abreu","AP-017167; VINV-01634","PIN001915","0012400000Wm2GhAAJ","Channel Partner / Vendor","006","a3h24000000LUdkAAG","0.0","722.13","a2l24000000U9vrAAC","2017-06-06T11:34:25.000Z","AP-017167; VINV-01634","22114"
"a3i24000000USVSAA4","2017-06-05","Tatiana Abreu","AP-017167; VINV-01634","PIN001915","0012400000Wm2GhAAJ","Channel Partner / Vendor","006","a3h24000000LUdlAAG","587.1","0.0","a2l24000000U9y3AAC","2017-06-06T11:34:25.000Z","","311"
"a3i24000000USVSAA4","2017-06-05","Tatiana Abreu","AP-017167; VINV-01634","PIN001915","0012400000Wm2GhAAJ","Channel Partner / Vendor","006","a3h24000000LUdmAAG","135.03","0.0","a2l24000000U9wOAAS","2017-06-06T11:34:25.000Z","CCONT23","2432113"
"a3i24000000USVhAAO","2017-06-05","Tatiana Abreu","AP-017713; VINV-01651","PIN001916","0012400000WmBYWAA3","Channel Partner / Vendor","006","a3h24000000LUe0AAG","0.0","9334.64","a2l24000000U9vrAAC","2017-06-06T11:38:50.000Z","AP-017713; VINV-01651","22114"
"a3i24000000USVhAAO","2017-06-05","Tatiana Abreu","AP-017713; VINV-01651","PIN001916","0012400000WmBYWAA3","Channel Partner / Vendor","006","a3h24000000LUe1AAG","7589.14","0.0","a2l24000000U9y3AAC","2017-06-06T11:38:50.000Z","","311"
"a3i24000000USVhAAO","2017-06-05","Tatiana Abreu","AP-017713; VINV-01651","PIN001916","0012400000WmBYWAA3","Channel Partner / Vendor","006","a3h24000000LUe2AAG","1745.5","0.0","a2l24000000U9wOAAS","2017-06-06T11:38:50.000Z","CCONT23","2432113"
"a3i24000000USVwAAO","2017-06-06","Tatiana Abreu","AP-017793; VINV-01657","PIN001917","0012400000Z5tg1AAB","Channel Partner / Vendor","006","a3h24000000LUeGAAW","0.0","14885.46","a2l24000000U9vrAAC","2017-06-06T11:51:01.000Z","AP-017793; VINV-01657","22114"
"a3i24000000USVwAAO","2017-06-06","Tatiana Abreu","AP-017793; VINV-01657","PIN001917","0012400000Z5tg1AAB","Channel Partner / Vendor","006","a3h24000000LUeHAAW","12102.0","0.0","a2l24000000U9y3AAC","2017-06-06T11:51:01.000Z","","311"
"a3i24000000USVwAAO","2017-06-06","Tatiana Abreu","AP-017793; VINV-01657","PIN001917","0012400000Z5tg1AAB","Channel Partner / Vendor","006","a3h24000000LUeIAAW","2783.46","0.0","a2l24000000U9wOAAS","2017-06-06T11:51:01.000Z","CCONT23","2432113"
"a3i24000000USWBAA4","2017-06-05","Tatiana Abreu","AP-015663; VINV-01649","PIN001918","0012400000WmBYWAA3","Channel Partner / Vendor","006","a3h24000000LUeXAAW","0.0","4464.99","a2l24000000U9vrAAC","2017-06-06T11:54:32.000Z","AP-015663; VINV-01649","22114"
"a3i24000000USWBAA4","2017-06-05","Tatiana Abreu","AP-015663; VINV-01649","PIN001918","0012400000WmBYWAA3","Channel Partner / Vendor","006","a3h24000000LUeYAAW","3630.07","0.0","a2l24000000U9y3AAC","2017-06-06T11:54:32.000Z","","311"
"a3i24000000USWBAA4","2017-06-05","Tatiana Abreu","AP-015663; VINV-01649","PIN001918","0012400000WmBYWAA3","Channel Partner / Vendor","006","a3h24000000LUeZAAW","834.92","0.0","a2l24000000U9wOAAS","2017-06-06T11:54:32.000Z","CCONT23","2432113"
"a3i24000000USX9AAO","2017-06-05","Tatiana Abreu","AP-011455; VINV-01637","PIN001919","0012400000VkWjPAAV","Channel Partner / Vendor","006","a3h24000000LUfjAAG","0.0","1297.65","a2l24000000U9vrAAC","2017-06-06T13:38:37.000Z","AP-011455; VINV-01637","22114"
"a3i24000000USX9AAO","2017-06-05","Tatiana Abreu","AP-011455; VINV-01637","PIN001919","0012400000VkWjPAAV","Channel Partner / Vendor","006","a3h24000000LUfkAAG","1055.0","0.0","a2l24000000U9y3AAC","2017-06-06T13:38:37.000Z","","311"
"a3i24000000USX9AAO","2017-06-05","Tatiana Abreu","AP-011455; VINV-01637","PIN001919","0012400000VkWjPAAV","Channel Partner / Vendor","006","a3h24000000LUflAAG","242.65","0.0","a2l24000000U9wOAAS","2017-06-06T13:38:37.000Z","CCONT23","2432113"
"a3i24000000USXTAA4","2017-06-01","Tatiana Abreu","AP-017656; VINV-01633","PIN001920","0012400000Z4m15AAB","Channel Partner / Vendor","006","a3h24000000LUg6AAG","0.0","4305.0","a2l24000000U9vrAAC","2017-06-06T13:54:46.000Z","AP-017656; VINV-01633","22114"
"a3i24000000USXTAA4","2017-06-01","Tatiana Abreu","AP-017656; VINV-01633","PIN001920","0012400000Z4m15AAB","Channel Partner / Vendor","006","a3h24000000LUg7AAG","3500.0","0.0","a2l24000000U9y3AAC","2017-06-06T13:54:46.000Z","","311"
"a3i24000000USXTAA4","2017-06-01","Tatiana Abreu","AP-017656; VINV-01633","PIN001920","0012400000Z4m15AAB","Channel Partner / Vendor","006","a3h24000000LUg8AAG","805.0","0.0","a2l24000000U9wOAAS","2017-06-06T13:54:46.000Z","CCONT23","2432113"
