"c2g__Transaction__r.Id","c2g__Transaction__r.c2g__TransactionDate__c","c2g__Transaction__r.CreatedBy.Name","c2g__Transaction__r.c2g__DocumentDescription__c","c2g__Transaction__r.c2g__DocumentNumber__c","c2g__Transaction__r.c2g__Account__c","c2g__Transaction__r.c2g__Account__r.Type","c2g__Transaction__r.c2g__Period__r.c2g__PeriodNumber__c","Id","TLDebit__c","TLCredit__c","c2g__GeneralLedgerAccount__c","CreatedDate","c2g__LineDescription__c","c2g__GeneralLedgerAccount__r.c2g__ReportingCode__c"
"a3i24000000MKe3AAG","2017-11-23","Célia Pedro","Invoice Number:PIN003802","PCR000084","0012400000Uey5MAAR","Channel Partner / Vendor","011","a3h24000000ESbWAAW","0.0","361.1","a2l24000000U9wOAAS","2017-11-23T15:14:26.000Z","CCONT23","2432113"
"a3i24000000ML21AAG","2017-11-27","Tatiana Abreu","Invoice Number:PIN003819","PCR000085","0012400000Z4P9gAAF","Channel Partner / Vendor","011","a3h24000000ETbBAAW","30169.6","0.0","a2l24000000U9vrAAC","2017-11-28T10:46:57.000Z","Invoice Number:PIN003819","22114"
"a3i24000000ML21AAG","2017-11-27","Tatiana Abreu","Invoice Number:PIN003819","PCR000085","0012400000Z4P9gAAF","Channel Partner / Vendor","011","a3h24000000ETbCAAW","0.0","24528.13","a2l24000000U9y3AAC","2017-11-28T10:46:57.000Z","","311"
"a3i24000000ML21AAG","2017-11-27","Tatiana Abreu","Invoice Number:PIN003819","PCR000085","0012400000Z4P9gAAF","Channel Partner / Vendor","011","a3h24000000ETbDAAW","0.0","5641.47","a2l24000000U9wOAAS","2017-11-28T10:46:57.000Z","CCONT23","2432113"
"a3i24000000ML9TAAW","2017-11-28","Tatiana Abreu","Invoice Number:PIN003830","PCR000086","0012400000Uey5MAAR","Channel Partner / Vendor","011","a3h24000000ETsoAAG","25265.15","0.0","a2l24000000U9vrAAC","2017-11-28T17:43:26.000Z","Invoice Number:PIN003830","22114"
"a3i24000000ML9TAAW","2017-11-28","Tatiana Abreu","Invoice Number:PIN003830","PCR000086","0012400000Uey5MAAR","Channel Partner / Vendor","011","a3h24000000ETspAAG","0.0","20540.77","a2l24000000U9y3AAC","2017-11-28T17:43:26.000Z","","311"
"a3i24000000ML9TAAW","2017-11-28","Tatiana Abreu","Invoice Number:PIN003830","PCR000086","0012400000Uey5MAAR","Channel Partner / Vendor","011","a3h24000000ETsqAAG","0.0","4724.38","a2l24000000U9wOAAS","2017-11-28T17:43:26.000Z","CCONT23","2432113"
"a3i24000000ML9dAAG","2017-11-28","Tatiana Abreu","Invoice Number:PIN003831","PCR000087","0012400000Uey5MAAR","Channel Partner / Vendor","011","a3h24000000ETsyAAG","26167.36","0.0","a2l24000000U9vrAAC","2017-11-28T17:50:07.000Z","Invoice Number:PIN003831","22114"
"a3i24000000ML9dAAG","2017-11-28","Tatiana Abreu","Invoice Number:PIN003831","PCR000087","0012400000Uey5MAAR","Channel Partner / Vendor","011","a3h24000000ETszAAG","0.0","21274.28","a2l24000000U9y3AAC","2017-11-28T17:50:07.000Z","","311"
"a3i24000000ML9dAAG","2017-11-28","Tatiana Abreu","Invoice Number:PIN003831","PCR000087","0012400000Uey5MAAR","Channel Partner / Vendor","011","a3h24000000ETt0AAG","0.0","4893.08","a2l24000000U9wOAAS","2017-11-28T17:50:07.000Z","CCONT23","2432113"
